,Position,Department,Institute,location,link,due
0,Assistant/Associate/Full Professor,School of Electrical Engineering and Computer Science,Louisiana State University (LSU),"Baton Rouge, Louisiana",https://cra.org/job/louisiana-state-university-lsu-assistant-associate-full-professor/,
1,"Assistant/Associate Professor – Computer Science, College of Engineering and Applied Sciences",Department of Computer Science,Stony Brook University,"Stony Brook, New York",https://cra.org/job/stony-brook-university-assistant-associate-professor-computer-science-college-of-engineering-and-applied-sciences/,
2,Faculty Positions in Information Systems – Open Rank,Information Systems,Carnegie Mellon University in Qatar,Qatar,https://cra.org/job/carnegie-mellon-university-in-qatar-faculty-positions-in-information-systems-open-rank/,
3,Open-Rank Tenure Track Position,Computer Science,Tennessee Tech University,"Cookeville, Tennessee",https://cra.org/job/tennessee-tech-university-open-rank-tenure-track-position/,01/15/2024
4,Lecturer or Reader in Computer Architecture,"School of Informatics, Science and Engineering",University of Edinburgh,"Informatics Forum, Edinburgh, EH8 9AB, GB (Hybrid working)",https://cra.org/job/university-of-edinburgh-lecturer-or-reader-in-computer-architecture/,
5,Senior Tutor,The Department of Computing,Imperial College London,South Kensington Campus – Hybrid,https://cra.org/job/imperial-college-london-senior-tutor/,
6,Assistant Professor (Tenure Track) of Theoretical Computer Science,Department of Computer Science,ETH Zurich,"Zurich, Switzerland",https://cra.org/job/eth-zurich-assistant-professor-tenure-track-of-theoretical-computer-science-3/,01/07/2024
7,Assist/Assoc Professor (CS/AI/ML/CS-EDU),Computer Science,San Jose State University,"San Jose, California",https://cra.org/job/san-jose-state-university-assist-assoc-professor-cs-ai-ml-cs-edu/,12/08/2023
8,Assistant/Associate Professor Applied Artificial Intelligence (AI) and Large-Scale Machine Learning (ML),Department of Computer Science,University of Houston,"Houston, Texas",https://cra.org/job/university-of-houston-assistant-associate-professor-applied-artificial-intelligence-ai-and-large-scale-machine-learning-ml/,09/01/2024
9,Two Tenure-track Openings: Assistant Professor of Computer Science & Associate Professor of Software Engineering,Computer Science,College of Charleston,"Charleston, South Carolina",https://cra.org/job/college-of-charleston-two-tenure-track-openings-assistant-professor-of-computer-science-associate-professor-of-software-engineering/,
10,Tenure-Track Faculty – Computer Science,Department of Computer Science at Ritchie School of Engineering and Computer Science,University of Denver,"Denver, Colorado",https://cra.org/job/university-of-denver-tenure-track-faculty-computer-science-2/,
